id,pod_id,reservation_status,door_number,rto_otp,drop_otp,pickup_otp
PD-df785d1f640372a,1001553,RTOPending,10,221759,979061,133462
PD-1d3d93520cdd802,1001159,DropPending,5,985275,642120,205633
PD-4cdbc86b05bd1d0,1001149,PickupPending,6,410944,510945,732237
PD-1b2cdeea178327a,1001668,PickupPending,1,282562,773270,533678
PD-8d42dd4aabcf328,1001684,PickupPending,4,393398,876670,677578
PD-8dd91bfd80fce26,1001684,PickupPending,1,265712,569204,368583
PD-a722622d721ece6,1001684,PickupPending,5,268106,491593,205040
PD-0a6c3982cf5b25c,1001684,PickupPending,6,600670,772942,981892
PD-a7bbcb0d704c3ed,1001529,PickupPending,4,288795,811081,195286
PD-7d7f84d2ba52fe8,1001547,DropPending,10,559685,988456,928515
PD-f987f7dc6b2373b,1001593,DropPending,1,805988,963872,737267
PD-f92ba97d64f439d,1001517,PickupPending,7,449684,808741,522483
PD-b94ae1fe34d42b3,1001903,PickupPending,1,319115,852328,862526
PD-cde1667f8c3ecb2,1001572,DropPending,1,369063,444574,260127
PD-28243d27fdc6685,1001572,PickupPending,3,450285,133626,530508
PD-46b46db7c95c0f5,1001159,DropPending,1,472043,773318,841145
PD-dc5241051f63ced,1001552,DropPending,3,883325,239590,885605
PD-c6734732489b2a0,1001552,DropPending,4,992049,883904,271944
PD-fa859cbf77396b0,1001444,PickupPending,1,503069,889529,496992
PD-ee656917d3fd044,1001444,DropPending,2,679696,154683,673654
PD-3556d6729268a30,1001474,DropPending,3,383098,136633,341551
PD-f8d7facd9965571,1001428,DropPending,9,252883,958402,256685
PD-d5912b1e5dc328d,1001474,DropPending,7,905726,299279,407230
PD-50062e9d0e0a38b,1001428,DropPending,6,239559,690261,399716
PD-3e9482f45708e7a,1001596,DropPending,3,178779,309774,878084
PD-0d3a123f8374588,1001574,DropPending,7,532130,116573,525854
PD-3331d9c65946e74,1001590,DropPending,4,434614,151976,349507
PD-8c26411d791dd23,1001707,DropPending,4,432506,522261,962520
