id,friendly_name,url,type,sub_type,keyword_type,keyword_case_type,keyword_value,http_username,http_password,port,interval,timeout,status,create_datetime,logs,lastLogTypeBeforeStartDate
793021804,POD_1001104_BLR-K055,https://appapi.qikpod.com:8989/status/1001104,2,,2,1,Device Up,,,,300,30,2,1668078033,"[{'id': 2804287230, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286995, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021787,POD_1001149_BLR-Z252,https://appapi.qikpod.com:8989/status/1001149,2,,2,1,Device Up,,,,300,30,2,1668077954,"[{'id': 2804287213, 'type': 2, 'datetime': 1668149798, 'duration': -19, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286979, 'type': 98, 'datetime': 1668149761, 'duration': 37, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021805,POD_1001515_BLR-E100,https://appapi.qikpod.com:8989/status/1001515,2,,2,1,Device Up,,,,300,30,2,1668078039,"[{'id': 2804287218, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286996, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021784,POD_1001549_LAB-1549,https://appapi.qikpod.com:8989/status/1001549,2,,2,1,Device Up,,,,300,30,9,1668077935,"[{'id': 2804287226, 'type': 1, 'datetime': 1668149779, 'duration': 0, 'reason': {'code': '888888', 'detail': 'Keyword Not Found'}}, {'id': 2804287001, 'type': 98, 'datetime': 1668149761, 'duration': 18, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021781,POD_1001552_LAB-1552,https://appapi.qikpod.com:8989/status/1001552,2,,2,1,Device Up,,,,300,30,9,1668077929,"[{'id': 2804287233, 'type': 1, 'datetime': 1668149779, 'duration': 0, 'reason': {'code': '888888', 'detail': 'Keyword Not Found'}}, {'id': 2804286999, 'type': 98, 'datetime': 1668149761, 'duration': 18, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021792,POD_1001572_HYD-A323,https://appapi.qikpod.com:8989/status/1001572,2,,2,1,Device Up,,,,300,30,2,1668077972,"[{'id': 2804287229, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286983, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021785,POD_1001580_KOL-M477,https://appapi.qikpod.com:8989/status/1001580,2,,2,1,Device Up,,,,300,30,2,1668077941,"[{'id': 2804287221, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286978, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021798,POD_1001583_KOL-B877,https://appapi.qikpod.com:8989/status/1001583,2,,2,1,Device Up,,,,300,30,2,1668078003,"[{'id': 2804287228, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286990, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021790,POD_1001605_Godrej1,https://appapi.qikpod.com:8989/status/1001605,2,,2,1,Device Up,,,,300,30,2,1668077966,"[{'id': 2804287232, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286981, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021795,POD_1001621_BLR-A191,https://appapi.qikpod.com:8989/status/1001621,2,,2,1,Device Up,,,,300,30,2,1668077991,"[{'id': 2804287231, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286987, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021796,POD_1001627_BLR-H114,https://appapi.qikpod.com:8989/status/1001627,2,,2,1,Device Up,,,,300,30,2,1668077997,"[{'id': 2804287223, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286989, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
793021789,POD_1001630_HYD-R333,https://appapi.qikpod.com:8989/status/1001630,2,,2,1,Device Up,,,,300,30,2,1668077960,"[{'id': 2804287235, 'type': 2, 'datetime': 1668149799, 'duration': -20, 'reason': {'code': '999999', 'detail': 'Keyword Found'}}, {'id': 2804286980, 'type': 98, 'datetime': 1668149761, 'duration': 38, 'reason': {'code': '98', 'detail': 'Monitor started'}}]",{}
